danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_uri,track_name,artist_name,artist_popularity,artist_genres,album_name,track_popularity
0.696,0.793,8,-5.733,1,0.097,0.0683,3.78E-06,0.18,0.698,120.003,audio_features,6BePGk3eCan4FqaW2X8Qy3,spotify:track:6BePGk3eCan4FqaW2X8Qy3,https://api.spotify.com/v1/tracks/6BePGk3eCan4FqaW2X8Qy3,https://api.spotify.com/v1/audio-analysis/6BePGk3eCan4FqaW2X8Qy3,172253,4,spotify:track:6BePGk3eCan4FqaW2X8Qy3,10:35,Tiësto,85,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",10:35,73
0.574,0.651,7,-7.585,1,0.046,0.346,0,0.149,0.368,140.017,audio_features,5teOR8KU4XNWY2WlVUDiIR,spotify:track:5teOR8KU4XNWY2WlVUDiIR,https://api.spotify.com/v1/tracks/5teOR8KU4XNWY2WlVUDiIR,https://api.spotify.com/v1/audio-analysis/5teOR8KU4XNWY2WlVUDiIR,174107,4,spotify:track:5teOR8KU4XNWY2WlVUDiIR,85%,Loote,53,"['alt z', 'nyc pop']",lost,50
0.691,0.814,1,-3.788,0,0.117,0.0164,0,0.366,0.509,132.012,audio_features,7K9Z3yFNNLv5kwTjQYGjnu,spotify:track:7K9Z3yFNNLv5kwTjQYGjnu,https://api.spotify.com/v1/tracks/7K9Z3yFNNLv5kwTjQYGjnu,https://api.spotify.com/v1/audio-analysis/7K9Z3yFNNLv5kwTjQYGjnu,145611,4,spotify:track:7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!,SyKo,59,"['glitchcore', 'sped up']",#BrooklynBloodPop!,42
0.66,0.551,8,-8.014,0,0.0278,0.239,0,0.0952,0.407,110.071,audio_features,1XqfYLPhvAzU5RPBGdkt9l,spotify:track:1XqfYLPhvAzU5RPBGdkt9l,https://api.spotify.com/v1/tracks/1XqfYLPhvAzU5RPBGdkt9l,https://api.spotify.com/v1/audio-analysis/1XqfYLPhvAzU5RPBGdkt9l,188182,4,spotify:track:1XqfYLPhvAzU5RPBGdkt9l,:( (sad face),Bahari,51,"['alt z', 'la pop']",:( (sad face),40
0.668,0.826,9,-4.466,1,0.0383,0.0236,1.07E-05,0.474,0.388,122.973,audio_features,62hTXlVQacy3pjBW4ntRPl,spotify:track:62hTXlVQacy3pjBW4ntRPl,https://api.spotify.com/v1/tracks/62hTXlVQacy3pjBW4ntRPl,https://api.spotify.com/v1/audio-analysis/62hTXlVQacy3pjBW4ntRPl,215480,4,spotify:track:62hTXlVQacy3pjBW4ntRPl,1000 Doves,Lady Gaga,92,"['art pop', 'dance pop', 'pop']",Chromatica,47
0.947,0.698,10,-6.899,1,0.112,0.169,0.00014,0.0928,0.859,114.973,audio_features,2Jq8TNmVbvEebQIQP8KEJN,spotify:track:2Jq8TNmVbvEebQIQP8KEJN,https://api.spotify.com/v1/tracks/2Jq8TNmVbvEebQIQP8KEJN,https://api.spotify.com/v1/audio-analysis/2Jq8TNmVbvEebQIQP8KEJN,162000,4,spotify:track:2Jq8TNmVbvEebQIQP8KEJN,20 and Lost,Osrin,23,['swedish tropical house'],20 and Lost,15
0.557,0.832,0,-8.284,0,0.042,0.291,0.974,0.174,0.148,138.027,audio_features,4jlsxEMhh2hUjO7ToZH9q3,spotify:track:4jlsxEMhh2hUjO7ToZH9q3,https://api.spotify.com/v1/tracks/4jlsxEMhh2hUjO7ToZH9q3,https://api.spotify.com/v1/audio-analysis/4jlsxEMhh2hUjO7ToZH9q3,157826,4,spotify:track:4jlsxEMhh2hUjO7ToZH9q3,2am,Aaron Hibell,59,"['stutter house', 'uk dance']",Twilight Zone,0
0.747,0.667,4,-5.181,0,0.0566,0.18,0,0.146,0.508,95,audio_features,3Gxo1itE2q8dTrhX7atqCE,spotify:track:3Gxo1itE2q8dTrhX7atqCE,https://api.spotify.com/v1/tracks/3Gxo1itE2q8dTrhX7atqCE,https://api.spotify.com/v1/audio-analysis/3Gxo1itE2q8dTrhX7atqCE,153124,4,spotify:track:3Gxo1itE2q8dTrhX7atqCE,2step (feat. Armaan Malik),Ed Sheeran,89,"['pop', 'singer-songwriter pop', 'uk pop']",2step (The Remixes),30
0.669,0.916,7,-4.961,1,0.038,0.254,0.00117,0.356,0.54,129.956,audio_features,2LrutkvIJOqQWj47eYNgG6,spotify:track:2LrutkvIJOqQWj47eYNgG6,https://api.spotify.com/v1/tracks/2LrutkvIJOqQWj47eYNgG6,https://api.spotify.com/v1/audio-analysis/2LrutkvIJOqQWj47eYNgG6,205187,4,spotify:track:2LrutkvIJOqQWj47eYNgG6,2step (Star.One Remix),Ed Sheeran,89,"['pop', 'singer-songwriter pop', 'uk pop']",2step (Star.One Remix),29
0.56,0.825,11,-3.862,1,0.0379,0.323,0,0.161,0.268,94.931,audio_features,4w1lzcaoZ1IC2K5TwjalRP,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,https://api.spotify.com/v1/tracks/4w1lzcaoZ1IC2K5TwjalRP,https://api.spotify.com/v1/audio-analysis/4w1lzcaoZ1IC2K5TwjalRP,237493,4,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,A Thousand Miles,Vanessa Carlton,64,"['lilith', 'neo mellow', 'piano rock', 'pop rock', 'post-teen pop']",Be Not Nobody,75
